Time(UTC+01:00),Futures Trading Pair,Direction,Leverage,Order Type,Order Qty (Cont.),Filled Qty (Cont.),Order Qty (Crypto),Filled Qty (Crypto),Order Qty (Amount),Filled Qty (Amount),Order Price,Average Filled Price,Closing PNL,Trading Fee,Fee-payment Crypto,Status
2025-02-25 11:16:06,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,7.879,7.879,7.879e-05,7.879e-05,0.129,0,USDT,FINISHED
2025-02-25 11:16:08,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,7.876,7.876,7.876e-05,7.876e-05,0.0,0,USDT,FINISHED
2025-02-25 11:29:04,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,7.894,7.894,7.894e-05,7.894e-05,0.018,0,USDT,FINISHED
2025-02-25 11:29:05,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,7.897,7.897,7.897e-05,7.897e-05,0.0,0,USDT,FINISHED
2025-02-25 11:50:03,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,7.988,7.988,7.988e-05,7.988e-05,-0.091,0,USDT,FINISHED
2025-02-25 11:50:04,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,7.985,7.985,7.985e-05,7.985e-05,0.0,0,USDT,FINISHED
2025-02-25 11:55:05,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.036,8.036,8.036e-05,8.036e-05,0.051,0,USDT,FINISHED
2025-02-25 11:55:07,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.033,8.033,8.033e-05,8.033e-05,0.0,0,USDT,FINISHED
2025-02-25 12:06:04,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,7.933,7.933,7.933e-05,7.933e-05,0.1,0,USDT,FINISHED
2025-02-25 12:06:05,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,7.929,7.929,7.929e-05,7.929e-05,0.0,0,USDT,FINISHED
2025-02-25 12:30:12,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,7.928,7.928,7.928e-05,7.928e-05,-0.001,0,USDT,FINISHED
2025-02-25 12:30:13,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,7.931,7.931,7.931e-05,7.931e-05,0.0,0,USDT,FINISHED
2025-02-25 13:27:06,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.182,8.182,8.182e-05,8.182e-05,-0.251,0,USDT,FINISHED
2025-02-25 13:27:07,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.182,8.182,8.182e-05,8.182e-05,0.0,0,USDT,FINISHED
2025-02-25 13:47:05,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.159,8.159,8.159e-05,8.159e-05,-0.023,0,USDT,FINISHED
2025-02-25 13:47:06,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.159,8.159,8.159e-05,8.159e-05,0.0,0,USDT,FINISHED
2025-02-25 14:23:03,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.135,8.135,8.135e-05,8.135e-05,0.024,0,USDT,FINISHED
2025-02-25 14:23:05,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.135,8.135,8.135e-05,8.135e-05,0.0,0,USDT,FINISHED
2025-02-25 14:31:06,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.146,8.146,8.146e-05,8.146e-05,0.011,0,USDT,FINISHED
2025-02-25 14:31:07,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.149,8.149,8.149e-05,8.149e-05,0.0,0,USDT,FINISHED
2025-02-25 14:59:14,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.144,8.144,8.144e-05,8.144e-05,0.005,0,USDT,FINISHED
2025-02-25 14:59:15,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.144,8.144,8.144e-05,8.144e-05,0.0,0,USDT,FINISHED
2025-02-25 15:13:11,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.156,8.156,8.156e-05,8.156e-05,0.012,0,USDT,FINISHED
2025-02-25 15:13:12,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.156,8.156,8.156e-05,8.156e-05,0.0,0,USDT,FINISHED
2025-02-25 15:26:03,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.089,8.089,8.089e-05,8.089e-05,0.067,0,USDT,FINISHED
